x,measured period
1,124.955093
2,124.935585
3,125.076225
4,124.934268
5,125.11791
6,124.877681
7,125.147109
8,124.846782
9,125.138935
10,124.954235
11,125.023065
12,124.926139
13,124.96531
14,124.974971
15,125.018443
16,125.085835
17,124.897162
18,125.014452
19,125.007462
20,125.143743
21,125.011051
22,124.945073
23,124.907369
24,125.00174
25,125.125852
26,124.874368
27,124.988156
28,124.992106
29,125.071577
30,124.938694
31,124.987475
32,124.997254
33,124.999127
34,125.011371
35,125.009174
36,124.971618
37,125.007988
38,124.991135
39,125.083228
40,124.96519
41,124.949515
42,125.012339
43,125.095703
44,124.924309
45,124.996493
46,124.984847
47,125.01372
48,124.984798
49,124.997995
50,124.989325
51,125.016505
52,125.11504
53,124.892965
54,125.104621
55,124.960854
56,124.910607
57,125.016349
58,124.996707
59,124.997936
60,125.040427
61,124.955275
62,124.99824
63,125.107335
64,124.917824
65,124.994846
66,124.994924
67,124.991159
68,125.121185
69,124.892215
70,125.10141
71,124.912941
72,125.131
73,124.852155
74,125.004994
75,125.06642
76,125.054577
77,124.875479
78,125.015696
79,125.125321
