x,delta compute,I^t -&gt; A^t round trip
0,1.048,34.338
1,0.433,4.469
2,0.256,3.544
3,0.293,3.349
4,0.25,3.241
5,0.247,3.233
6,0.35,3.424
7,0.305,3.342
8,0.304,3.286
9,0.268,3.252
10,0.24,3.248
11,0.241,3.239
12,0.241,3.256
13,0.242,3.234
14,0.242,3.233
15,0.241,3.23
16,0.241,3.233
17,0.24,3.228
18,0.242,3.226
19,0.24,3.348
20,0.241,3.264
21,0.242,3.335
22,0.243,3.29
23,0.243,3.234
24,0.241,3.236
25,0.242,3.231
26,0.242,3.231
27,0.241,3.23
28,0.242,3.227
29,0.241,3.23
30,0.239,3.234
31,0.242,3.235
32,0.242,3.24
33,0.24,3.238
34,0.24,3.234
35,0.241,3.233
36,0.24,3.228
37,0.241,3.227
38,0.24,3.228
39,0.242,3.234
40,0.242,3.239
41,0.242,3.241
42,0.243,3.239
43,0.241,3.235
44,0.241,3.233
45,0.24,3.233
46,0.241,3.227
47,0.24,3.232
48,0.242,3.231
49,0.241,3.236
50,0.242,3.238
51,0.242,3.239
52,0.241,3.238
53,0.242,3.233
54,0.241,3.286
55,0.24,3.333
56,0.241,3.284
57,0.242,3.289
58,0.241,3.292
59,0.243,3.293
60,0.242,3.297
61,0.243,3.299
62,0.241,3.292
63,0.24,3.289
64,0.242,3.291
65,0.241,3.285
66,0.241,3.287
67,0.24,3.29
68,0.24,3.297
69,0.242,3.305
70,0.242,3.298
71,0.242,3.294
72,0.241,3.29
73,0.24,3.287
74,0.241,3.34
75,0.241,3.337
76,0.241,3.264
77,0.242,3.271
78,0.242,3.303
79,0.242,3.251
80,0.242,3.25
81,0.241,3.246
82,0.24,3.244
83,0.24,3.244
84,0.24,3.241
85,0.241,3.246
86,0.24,3.255
87,0.241,3.256
88,0.241,3.249
89,0.242,3.249
90,0.241,3.248
91,0.242,3.245
92,0.242,3.24
93,0.242,3.24
94,0.242,3.287
95,0.242,3.245
96,0.24,3.249
97,0.241,3.247
98,0.241,3.255
99,0.242,3.306
100,0.24,3.248
101,0.242,3.245
102,0.241,3.24
103,0.243,3.245
104,0.241,3.246
105,0.241,3.247
106,0.242,3.249
107,0.242,3.252
108,0.241,3.253
109,0.241,3.247
110,0.242,3.25
111,0.24,3.241
112,0.24,3.239
113,0.243,3.301
114,0.242,3.346
115,0.24,3.298
116,0.242,3.302
117,0.241,3.303
118,0.242,3.305
119,0.241,3.3
120,0.24,3.303
121,0.241,3.3
122,0.242,3.297
123,0.242,3.3
124,0.242,3.298
125,0.24,3.302
126,0.24,3.306
127,0.243,3.305
128,0.241,3.298
129,0.241,3.298
130,0.241,3.297
131,0.24,3.294
132,0.241,3.3
133,0.241,3.326
134,0.24,3.321
135,0.241,3.356
136,0.242,3.304
137,0.242,3.503
138,0.241,3.37
139,0.242,3.288
140,0.241,3.293
141,0.24,3.292
142,0.241,3.296
143,0.241,3.301
144,0.242,3.299
145,0.241,3.299
146,0.241,3.299
147,0.241,3.297
148,0.241,3.288
149,0.24,3.29
150,0.24,3.298
151,0.24,3.307
152,0.242,3.303
153,0.241,3.309
154,0.243,3.26
155,0.243,3.256
156,0.241,3.254
157,0.243,3.254
158,0.24,3.249
159,0.24,3.247
160,0.24,3.249
161,0.241,3.255
162,0.242,3.257
163,0.242,3.26
164,0.24,3.261
165,0.242,3.252
166,0.241,3.25
167,0.24,3.248
168,0.241,3.243
169,0.242,3.25
170,0.24,3.258
171,0.241,3.257
172,0.243,3.308
173,0.243,3.299
174,0.242,3.297
175,0.241,3.295
176,0.24,3.291
177,0.242,3.243
178,0.241,3.246
179,0.241,3.247
180,0.24,3.249
181,0.242,3.251
182,0.243,3.256
183,0.241,3.254
184,0.243,3.254
185,0.24,3.246
186,0.241,3.244
187,0.24,3.242
188,0.242,3.246
189,0.24,3.253
190,0.242,3.253
191,0.241,3.254
192,0.241,3.262
193,0.241,3.278
194,0.242,3.275
195,0.241,3.274
196,0.241,3.268
197,0.242,3.274
198,0.242,3.281
199,0.24,3.277
200,0.242,3.28
201,0.242,3.283
202,0.24,3.28
203,0.243,3.275
204,0.242,3.271
205,0.24,3.268
206,0.241,3.269
207,0.24,3.275
208,0.241,3.275
209,0.242,3.284
210,0.242,3.283
211,0.241,3.467
212,0.241,3.388
213,0.24,3.268
214,0.24,3.26
215,0.24,3.27
216,0.242,3.264
217,0.24,3.265
218,0.243,3.271
219,0.242,3.274
220,0.241,3.271
221,0.254,3.284
222,0.241,3.264
223,0.24,3.264
224,0.24,3.262
225,0.242,3.262
226,0.241,3.271
227,0.241,3.27
228,0.242,3.269
229,0.242,3.276
230,0.242,3.271
231,0.241,3.268
232,0.243,3.361
233,0.24,3.251
234,0.241,3.254
235,0.24,3.257
236,0.241,3.259
237,0.241,3.262
238,0.241,3.262
239,0.241,3.258
240,0.252,3.275
241,0.241,3.258
242,0.241,3.256
243,0.241,3.249
244,0.24,3.256
245,0.24,3.256
246,0.242,3.258
247,0.241,3.269
248,0.243,3.263
249,0.242,3.263
250,0.24,3.259
251,0.242,3.255
252,0.241,3.373
253,0.241,3.253
254,0.242,3.26
255,0.241,3.259
256,0.255,3.278
257,0.242,3.265
258,0.241,3.26
259,0.242,3.255
260,0.241,3.257
261,0.241,3.252
262,0.241,3.253
263,0.24,3.255
264,0.241,3.26
265,0.242,3.259
266,0.242,3.263
267,0.241,3.265
268,0.242,3.258
269,0.242,3.257
270,0.24,3.293
271,0.241,3.292
272,0.24,3.398
273,0.241,3.347
274,0.241,3.281
275,0.24,3.282
276,0.24,3.309
277,0.243,3.292
278,0.241,3.302
279,0.242,3.276
280,0.241,3.27
281,0.241,3.271
282,0.241,3.272
283,0.242,3.278
284,0.242,3.281
285,0.241,3.28
286,0.242,3.28
287,0.242,3.277
288,0.241,3.275
289,0.241,3.273
290,0.253,9.568
291,0.239,3.29
292,0.24,3.287
293,0.242,3.285
294,0.243,3.289
295,0.243,3.279
296,0.242,3.282
297,0.241,3.277
298,0.24,3.274
299,0.241,3.283
300,0.243,3.286
301,0.242,3.289
302,0.242,3.286
303,0.242,3.283
304,0.242,3.284
305,0.241,3.324
306,0.241,3.339
307,0.241,3.303
308,0.241,3.306
309,0.241,3.411
310,0.241,3.315
311,0.242,3.313
312,0.242,3.311
313,0.242,3.32
314,0.241,3.308
315,0.24,3.297
316,0.24,3.302
317,0.24,3.312
318,0.241,3.304
319,0.241,3.309
320,0.242,3.313
321,0.243,3.31
322,0.241,3.307
323,0.242,3.304
324,0.241,3.3
325,0.241,3.299
326,0.241,3.3
327,0.24,3.303
328,0.24,3.315
329,0.242,3.311
330,0.242,3.364
331,0.243,3.331
332,0.242,3.299
333,0.241,3.298
334,0.24,3.295
335,0.241,3.293
336,0.241,3.301
337,0.242,3.304
338,0.242,3.307
339,0.241,3.307
340,0.241,3.305
341,0.241,3.301
342,0.24,3.302
343,0.241,3.295
344,0.241,3.295
345,0.24,3.301
346,0.241,3.301
347,0.241,3.311
348,0.241,3.305
349,0.241,3.307
350,0.242,3.313
351,0.241,3.301
352,0.24,3.295
353,0.241,3.295
354,0.24,3.295
355,0.24,3.3
356,0.241,3.304
357,0.242,3.282
358,0.229,3.111
359,0.227,3.11
360,0.226,3.11
361,0.227,3.104
362,0.226,3.101
363,0.228,3.104
364,0.226,3.103
365,0.226,3.132
366,0.227,3.137
367,0.227,3.139
368,0.228,3.135
369,0.227,3.133
370,0.227,3.134
371,0.227,3.125
372,0.226,3.124
373,0.228,3.125
374,0.227,3.125
375,0.227,3.13
376,0.227,3.132
377,0.227,3.134
378,0.227,3.134
379,0.227,3.132
380,0.227,3.128
381,0.226,3.126
382,0.228,3.125
383,0.227,3.127
384,0.227,3.125
385,0.226,3.134
386,0.228,3.133
387,0.227,3.135
388,0.227,3.136
389,0.227,3.243
390,0.227,3.132
391,0.226,3.128
392,0.226,3.126
393,0.228,3.123
394,0.227,3.129
395,0.226,3.128
396,0.227,3.132
397,0.228,3.146
398,0.227,3.135
399,0.227,3.129
